year,epi_week,lga,confirmed_cases,data_source,date,rainfall_weekly,temp_mean,temp_max,temp_min,humidity_mean,pop_density,population,water_access,sanitation_access,open_defecation,mpi,elevation_m,dist_coast_km,dist_river_km
2020,50,Akoko North-East,0,WHO_literature,2020-12-14,4.49,24.69142857142857,31.0,20.27,85.02428571428571,285,187,62,48,28,0.312,387,187,8
2020,51,Akoko North-East,0,WHO_literature,2020-12-21,4.9,24.900000000000002,30.84,19.18,82.94857142857143,285,187,62,48,28,0.312,387,187,8
2020,52,Akoko North-East,0,WHO_literature,2020-12-28,0.5,24.345714285714283,31.35,16.81,77.33,285,187,62,48,28,0.312,387,187,8
2021,1,Akoko North-East,0,WHO_literature,2021-01-04,7.3100000000000005,25.174285714285713,32.02,19.18,80.01142857142858,285,187,62,48,28,0.312,387,187,8
2021,2,Akoko North-East,0,WHO_literature,2021-01-11,0.12000000000000001,24.827142857142857,32.24,16.67,69.20285714285714,285,187,62,48,28,0.312,387,187,8
2021,3,Akoko North-East,0,WHO_literature,2021-01-18,0.0,23.935714285714287,31.75,16.01,59.29857142857143,285,187,62,48,28,0.312,387,187,8
2021,4,Akoko North-East,0,WHO_literature,2021-01-25,0.98,24.608571428571427,32.52,17.06,73.89428571428572,285,187,62,48,28,0.312,387,187,8
2021,5,Akoko North-East,0,WHO_literature,2021-02-01,0.72,25.34142857142857,32.47,19.35,75.33142857142857,285,187,62,48,28,0.312,387,187,8
2021,6,Akoko North-East,0,WHO_literature,2021-02-08,6.78,26.74857142857143,33.93,21.88,77.25142857142858,285,187,62,48,28,0.312,387,187,8
2021,7,Akoko North-East,0,WHO_literature,2021-02-15,1.2,25.111428571428572,32.83,15.79,57.284285714285716,285,187,62,48,28,0.312,387,187,8
2021,8,Akoko North-East,0,WHO_literature,2021-02-22,0.88,25.822857142857142,34.01,18.9,74.5,285,187,62,48,28,0.312,387,187,8
2021,9,Akoko North-East,0,WHO_literature,2021-03-01,0.41000000000000003,27.172857142857143,35.37,21.49,73.96000000000001,285,187,62,48,28,0.312,387,187,8
2021,10,Akoko North-East,0,WHO_literature,2021-03-08,19.810000000000002,25.891428571428573,32.43,22.74,84.31857142857143,285,187,62,48,28,0.312,387,187,8
2021,11,Akoko North-East,0,WHO_literature,2021-03-15,17.96,24.824285714285715,29.74,21.9,85.75857142857141,285,187,62,48,28,0.312,387,187,8
2021,12,Akoko North-East,0,WHO_literature,2021-03-22,23.24,25.812857142857144,32.21,21.66,82.49428571428572,285,187,62,48,28,0.312,387,187,8
2021,13,Akoko North-East,0,WHO_literature,2021-03-29,0.33,26.94,33.81,21.84,75.55857142857143,285,187,62,48,28,0.312,387,187,8
2021,14,Akoko North-East,0,WHO_literature,2021-04-05,47.699999999999996,26.25857142857143,31.79,23.02,84.23714285714286,285,187,62,48,28,0.312,387,187,8
2021,15,Akoko North-East,0,WHO_literature,2021-04-12,86.68,24.94857142857143,29.99,21.93,87.27857142857144,285,187,62,48,28,0.312,387,187,8
2021,16,Akoko North-East,0,WHO_literature,2021-04-19,25.51,25.215714285714284,30.49,21.6,87.89142857142858,285,187,62,48,28,0.312,387,187,8
2021,17,Akoko North-East,0,WHO_literature,2021-04-26,9.31,25.955714285714286,31.34,22.48,86.18142857142857,285,187,62,48,28,0.312,387,187,8
2021,18,Akoko North-East,0,WHO_literature,2021-05-03,37.76,24.942857142857143,30.73,21.26,85.98428571428572,285,187,62,48,28,0.312,387,187,8
2021,19,Akoko North-East,0,WHO_literature,2021-05-10,22.689999999999998,25.571428571428573,30.83,20.55,86.51428571428572,285,187,62,48,28,0.312,387,187,8
2021,20,Akoko North-East,1,WHO_literature,2021-05-17,39.53,25.33142857142857,30.32,21.1,88.12571428571428,285,187,62,48,28,0.312,387,187,8
